onet_soc_code,task_id,task_statement
11-1031.00,15283,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor."
11-1031.00,15284,"Write, prepare, and deliver statements for the Congressional Record."
11-1031.00,15285,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings."
11-1031.00,15286,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships."
11-1031.00,15287,"Conduct ""head counts"" to help predict the outcome of upcoming votes."
11-1031.00,15288,"Determine campaign strategies for media advertising, positions on issues, and public appearances."
11-1031.00,15289,Encourage and support party candidates for political office.
11-1031.00,15290,"Establish personal offices in local districts or states, and manage office staff."
11-1031.00,15291,"Evaluate the structure, efficiency, activities, and performance of government agencies."
11-1031.00,15292,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election."
11-1031.00,15293,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year."
11-1031.00,15294,Promote the industries and products of their electoral districts.
11-1031.00,15295,"Represent their government at local, national, and international meetings and conferences."
11-1031.00,15296,Speak to students to encourage and support the development of future political leaders.
11-2011.00,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies."
11-2011.00,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications."
11-2011.00,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research."
11-2011.00,21222,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services."
11-2011.00,21223,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations."
11-2011.00,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals."
11-2011.00,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.
11-2011.00,21225,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas."
11-2011.00,21218,Analyze the effectiveness of marketing tactics or channels.
11-2011.00,21221,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs."
11-2011.00,21220,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies."
11-2011.00,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms."
11-2011.00,3242,Coordinate with the media to disseminate advertising.
11-2011.00,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised."
11-2011.00,21217,Analyze marketing or sales trends to forecast future conditions.
11-2011.00,3228,Prepare and negotiate advertising and sales contracts.
11-2011.00,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.
11-2011.00,3245,Represent company at trade association meetings to promote products.
11-2011.00,21224,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires."
11-2011.00,3243,Contact organizations to explain services and facilities offered.
11-2011.00,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."
11-2011.00,21219,"Attend or participate in conferences, community events, and promotional events related to products or technologies."
11-2011.00,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance."
11-2011.00,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.
11-2011.00,3238,Plan and execute advertising policies and strategies for organizations.
11-2011.00,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers."
11-2011.00,3241,Train and direct workers engaged in developing and producing advertisements.
11-2011.00,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.
11-2011.00,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals."
11-2011.00,3244,Direct and coordinate product research and development.
11-2021.00,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers."
11-2021.00,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends."
11-2021.00,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors."
11-2021.00,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities."
11-2021.00,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections."
11-2021.00,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction."
11-2021.00,963,"Initiate market research studies, or analyze their findings."
11-2021.00,957,Compile lists describing product or service offerings.
11-2021.00,956,"Consult with product development personnel on product specifications, such as design, color, or packaging."
11-2021.00,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products."
11-2021.00,965,Conduct economic or commercial surveys to identify potential markets for products or services.
11-2021.00,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services."
11-2021.00,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.
11-2021.00,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies."
11-2021.00,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors."
11-2021.00,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.
11-2021.00,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services."
11-2021.00,959,Select products or accessories to be displayed at trade or special production shows.
11-2021.00,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities."
11-2021.00,19503,Develop business cases for environmental marketing strategies.
11-2022.00,14,Oversee regional and local sales managers and their staffs.
11-2022.00,1,Resolve customer complaints regarding sales and service.
11-2022.00,2,Monitor customer preferences to determine focus of sales efforts.
11-2022.00,13,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase."
11-2022.00,5,Review operational records and reports to project sales and determine profitability.
11-2022.00,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs."
11-2022.00,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale."
11-2022.00,4,Determine price schedules and discount rates.
11-2022.00,9,Prepare budgets and approve budget expenditures.
11-2022.00,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.
11-2022.00,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.
11-2022.00,10,Represent company at trade association meetings to promote products.
11-2022.00,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.
11-2022.00,6,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping."
11-2022.00,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions."
11-2022.00,17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures."
11-2022.00,16,Direct foreign sales and service outlets of an organization.
11-2032.00,21233,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities."
11-2032.00,21226,"Assign, supervise, and review the activities of public relations staff."
11-2032.00,21237,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan."
11-2032.00,21230,"Develop, implement, or maintain crisis communication plans."
11-2032.00,21245,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages."
11-2032.00,21239,Manage communications budgets.
11-2032.00,21229,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage."
11-2032.00,21235,"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices."
11-2032.00,21242,"Observe and report on social, economic, and political trends that might affect employers."
11-2032.00,21232,Draft speeches for company executives and arrange interviews and other forms of contact for them.
11-2032.00,21236,"Formulate policies and procedures related to public information programs, working with public relations executives."
11-2032.00,21231,"Direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs."
11-2032.00,21244,Respond to requests for information about employers' activities or status.
11-2032.00,21227,Confer with labor relations managers to develop internal communications that keep employees informed of company activities.
11-2032.00,21234,Evaluate advertising and promotion programs for compatibility with public relations efforts.
11-2032.00,21243,"Produce films and other video products, regulate their distribution, and operate film library."
11-2032.00,21241,"Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly."
11-2032.00,21228,"Design and edit promotional publications, such as brochures."
11-2032.00,21240,Manage in-house communication courses.
11-2032.00,21238,Maintain company archives.
11-2033.00,21252,Develop strategies to encourage new or increased contributions.
11-2033.00,21258,Manage fundraising budgets.
11-2033.00,21251,Develop fundraising activity plans that maximize participation or contributions and minimize costs.
11-2033.00,21259,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks."
11-2033.00,21255,"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds."
11-2033.00,21254,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities."
11-2033.00,21247,Compile or develop materials to submit to granting or other funding organizations.
11-2033.00,21249,"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs."
11-2033.00,21248,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets."
11-2033.00,21261,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages."
11-2033.00,21257,Formulate policies and procedures related to fundraising programs.
11-2033.00,21246,"Assign, supervise, and review the activities of fundraising staff."
11-2033.00,21256,Evaluate advertising and promotion programs for compatibility with fundraising efforts.
11-2033.00,21250,"Design and edit promotional publications, such as brochures."
11-2033.00,21253,"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs."
11-2033.00,21260,"Produce films and other video products, regulate their distribution, and operate film library."
11-3012.00,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.
11-3012.00,20,Set goals and deadlines for the department.
11-3012.00,23,"Acquire, distribute and store supplies."
11-3012.00,22,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records."
11-3012.00,30,Conduct classes to teach procedures to staff.
11-3012.00,24,"Plan, administer, and control budgets for contracts, equipment, and supplies."
11-3012.00,26,Hire and terminate clerical and administrative personnel.
11-3012.00,19,"Direct or coordinate the supportive services department of a business, agency, or organization."
11-3012.00,21262,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met."
11-3012.00,21263,Develop operational standards and procedures for the work unit or department.
11-3012.00,21264,Establish work procedures or schedules to organize the daily work of administrative staff.
11-3012.00,21265,Learn to operate new office technologies as they are developed and implemented.
11-3012.00,21266,"Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence."
11-3012.00,21267,"Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs."
11-3012.00,21268,"Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll."
11-3012.00,21269,"Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance."
11-3012.00,21270,Represent work unit at meetings or conferences and serve as liaison for requests or complaints.
11-3012.00,21271,Supervise administrative staff and provide training and orientation to new staff.
11-3013.00,21276,"Monitor the facility to ensure that it remains safe, secure, and well-maintained."
11-3013.00,21278,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems."
11-3013.00,21277,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations."
11-3013.00,21280,"Plan, administer, and control budgets for contracts, equipment, and supplies."
11-3013.00,21279,"Participate in architectural and engineering planning and design, including space and installation management."
11-3013.00,21282,Set goals and deadlines for the department.
11-3013.00,21273,Conduct classes to teach procedures to staff.
11-3013.00,21281,Prepare and review operational reports and schedules to ensure accuracy and efficiency.
11-3013.00,21272,"Acquire, distribute and store supplies."
11-3013.00,21274,"Dispose of, or oversee the disposal of, surplus or unclaimed property."
11-3013.00,21275,Manage leasing of facility space.
11-3013.01,21291,Develop budgets for security operations.
11-3013.01,21298,"Identify, investigate, or resolve security breaches."
11-3013.01,21302,"Plan, direct, or coordinate security activities to safeguard company employees, guests, or others on company property."
11-3013.01,21297,Direct or participate in emergency management and contingency planning.
11-3013.01,21305,"Respond to medical emergencies, bomb threats, fire alarms, or intrusion alarms, following emergency response procedures."
11-3013.01,21283,"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment."
11-3013.01,21290,"Create or implement security standards, policies, and procedures."
11-3013.01,21284,Assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.
11-3013.01,21307,"Supervise or provide leadership to subordinate security professionals, performing activities such as hiring, investigating applicants' backgrounds, training, assigning work, evaluating performance, or disciplining."
11-3013.01,21295,"Develop, implement, manage, or evaluate policies and methods to protect personnel against harassment, threats, or violence."
11-3013.01,21296,"Develop, recommend, or manage security procedures for operations or processes, such as security call centers, access control, and reporting tools."
11-3013.01,21301,Plan security for special and high-risk events.
11-3013.01,21288,"Conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services."
11-3013.01,21287,Conduct physical examinations of property to ensure compliance with security policies and regulations.
11-3013.01,21300,"Monitor security policies, programs or procedures to ensure compliance with internal security policies, or applicable government security requirements, policies, and directives."
11-3013.01,21289,"Coordinate security operations or activities with public law enforcement, fire and other agencies."
11-3013.01,21299,"Monitor and ensure a sound, ethical environment."
11-3013.01,21310,"Write or review security-related documents, such as incident reports, proposals, and tactical or strategic initiatives."
11-3013.01,21286,"Communicate security status, updates, and actual or potential problems, using established protocols."
11-3013.01,21309,Train subordinate security professionals or other organization members in security rules and procedures.
11-3013.01,21292,"Develop or manage investigation programs, including collection and preservation of video and notes of surveillance processes or investigative interviews."
11-3013.01,21303,"Prepare reports or make presentations on internal investigations, losses, or violations of regulations, policies and procedures."
11-3013.01,21285,"Attend meetings, professional seminars, or conferences to keep abreast of changes in executive legislative directives or new technologies impacting security operations."
11-3013.01,21304,"Purchase security-related supplies, equipment, or technology."
11-3013.01,21293,"Develop, arrange for, perform, or assess executive protection activities to reduce security risks."
11-3013.01,21306,Review financial reports to ensure efficiency and quality of security operations.
11-3013.01,21294,"Develop, conduct, support, or assist in governmental reviews, internal corporate evaluations, or assessments of the overall effectiveness of facility and personnel security processes."
11-3013.01,21308,Support efforts to reduce substance abuse or other illegal activities in the workplace.
11-3021.00,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines."
11-3021.00,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems."
11-3021.00,978,Review project plans to plan and coordinate project activity.
11-3021.00,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers."
11-3021.00,15198,Provide users with technical support for computer problems.
11-3021.00,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery."
11-3021.00,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions."
11-3021.00,970,Stay abreast of advances in technology.
11-3021.00,967,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements."
11-3021.00,976,"Develop and interpret organizational goals, policies, and procedures."
11-3021.00,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades."
11-3021.00,972,Review and approve all systems charts and programs prior to their implementation.
11-3021.00,980,Prepare and review operational reports or project progress reports.
11-3021.00,979,Evaluate data processing proposals to assess project feasibility and requirements.
11-3021.00,974,Control operational budget and expenditures.
11-3021.00,981,Purchase necessary equipment.
11-3021.00,966,"Manage backup, security and user help systems."
11-3031.00,21311,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.
11-3031.00,21319,Oversee the flow of cash or financial instruments.
11-3031.00,21312,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments."
11-3031.00,21313,Recruit staff members.
11-3031.00,21315,Evaluate data pertaining to costs to plan budgets.
11-3031.00,21316,Oversee training programs.
11-3031.00,21327,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping."
11-3031.00,21322,Communicate with stockholders or other investors to provide information or to raise capital.
11-3031.00,21321,Develop or analyze information to assess the current or future financial status of firms.
11-3031.00,21318,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans."
11-3031.00,21320,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors."
11-3031.00,21317,"Examine, evaluate, or process loan applications."
11-3031.00,21323,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions."
11-3031.00,21325,Network within communities to find and attract new business.
11-3031.00,21314,Prepare operational or risk reports for management analysis.
11-3031.00,21326,Review collection reports to determine the status of collections and the amounts of outstanding balances.
11-3031.00,21329,Review reports of securities transactions or price lists to analyze market conditions.
11-3031.01,20168,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met."
11-3031.01,8870,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.
11-3031.01,8864,"Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities."
11-3031.01,8858,"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments."
11-3031.01,8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures."
11-3031.01,8868,"Advise management on short-term and long-term financial objectives, policies, and actions."
11-3031.01,8865,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization."
11-3031.01,8856,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies."
11-3031.01,8866,"Develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting."
11-3031.01,8872,Receive cash and checks and make deposits.
11-3031.01,8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed."
11-3031.01,8859,"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards."
11-3031.01,8863,"Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals."
11-3031.01,8855,Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.
11-3031.01,8857,"Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties."
11-3031.01,8873,"Compute, withhold, and account for all payroll deductions."
11-3031.01,20169,"Handle all aspects of employee insurance, benefits, and casualty programs, including monitoring changes in health insurance regulations and creating budgets for benefits and worker's compensation."
11-3031.01,8860,Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.
11-3031.01,8874,Perform tax planning work.
11-3031.01,8869,Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.
11-3031.01,8875,"Determine depreciation rates to apply to capitalized items and advise management on actions regarding the purchase, lease, or disposal of such items."
11-3031.01,8871,Lead staff training and development in budgeting and financial management areas.
11-3031.03,15678,Manage investment funds to maximize return on client investments.
11-3031.03,15679,Select specific investments or investment mixes for purchase by an investment fund.
11-3031.03,15669,Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.
11-3031.03,15676,Select or direct the execution of trades.
11-3031.03,15675,Develop or implement fund investment policies or strategies.
11-3031.03,15667,"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation."
11-3031.03,15668,"Present investment information, such as product risks, fees, or fund performance statistics."
11-3031.03,15664,"Develop, implement, or monitor security valuation policies."
11-3031.03,15671,Meet with investors to determine investment goals or to discuss investment strategies.
11-3031.03,15665,Attend investment briefings or consult financial media to stay abreast of relevant investment markets.
11-3031.03,15660,Prepare for and respond to regulatory inquiries.
11-3031.03,15674,"Evaluate the potential of new product developments or market opportunities, according to factors such as business plans, technologies, or market potential."
11-3031.03,15662,Hire or evaluate staff.
11-3031.03,15670,Monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities.
11-3031.03,15673,Develop or direct development of offering documents or marketing materials.
11-3031.03,15677,Analyze acquisitions to ensure conformance with strategic goals or regulatory requirements.
11-3031.03,15661,Verify regulatory compliance of transaction reporting.
11-3031.03,15666,Review offering documents or marketing materials to ensure regulatory compliance.
11-3031.03,15672,Identify group or individual target investors for a specific fund.
11-3031.03,15663,Direct activities of accounting or operations departments.
11-3051.00,39,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality."
11-3051.00,32,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations."
11-3051.00,34,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints."
11-3051.00,35,Review operations and confer with technical or administrative staff to resolve production or processing problems.
11-3051.00,36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances."
11-3051.00,40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems."
11-3051.00,38,Prepare and maintain production reports or personnel records.
11-3051.00,41,Review plans and confer with research or support staff to develop new products or processes.
11-3051.00,33,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets."
11-3051.00,44,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies."
