task_id,onet_soc_code,automation_share,augmentation_share,source
21357,11-3071.00,0.362319,0.637681,anthropic_economic_index_2025_03_27
3267,11-3111.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
3273,11-3111.00,0.375000,0.625000,anthropic_economic_index_2025_03_27
3279,11-3111.00,0.444444,0.555556,anthropic_economic_index_2025_03_27
988,11-3121.00,0.490909,0.509091,anthropic_economic_index_2025_03_27
994,11-3121.00,0.431373,0.568627,anthropic_economic_index_2025_03_27
1015,11-3131.00,0.264706,0.735294,anthropic_economic_index_2025_03_27
1009,11-3131.00,0.639535,0.360465,anthropic_economic_index_2025_03_27
1014,11-3131.00,0.393701,0.606299,anthropic_economic_index_2025_03_27
1013,11-3131.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
21378,11-9013.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
21386,11-9013.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
3327,11-9021.00,0.300000,0.700000,anthropic_economic_index_2025_03_27
3314,11-9021.00,0.408451,0.591549,anthropic_economic_index_2025_03_27
20334,11-9021.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
3315,11-9021.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
20336,11-9021.00,0.578947,0.421053,anthropic_economic_index_2025_03_27
5194,11-9031.00,0.500000,0.500000,anthropic_economic_index_2025_03_27
5205,11-9031.00,0.464789,0.535211,anthropic_economic_index_2025_03_27
5207,11-9031.00,0.509434,0.490566,anthropic_economic_index_2025_03_27
5206,11-9031.00,0.381526,0.618474,anthropic_economic_index_2025_03_27
5208,11-9031.00,0.424460,0.575540,anthropic_economic_index_2025_03_27
18587,11-9032.00,0.444444,0.555556,anthropic_economic_index_2025_03_27
5213,11-9032.00,0.506849,0.493151,anthropic_economic_index_2025_03_27
5219,11-9032.00,0.409207,0.590793,anthropic_economic_index_2025_03_27
5217,11-9032.00,0.487805,0.512195,anthropic_economic_index_2025_03_27
5230,11-9032.00,0.342946,0.657054,anthropic_economic_index_2025_03_27
5233,11-9032.00,0.432432,0.567568,anthropic_economic_index_2025_03_27
5220,11-9032.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
5239,11-9033.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
5244,11-9033.00,0.394231,0.605769,anthropic_economic_index_2025_03_27
20172,11-9041.00,0.477477,0.522523,anthropic_economic_index_2025_03_27
1070,11-9041.00,0.285714,0.714286,anthropic_economic_index_2025_03_27
19525,11-9041.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
1087,11-9051.00,0.389831,0.610169,anthropic_economic_index_2025_03_27
1101,11-9051.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
55,11-9111.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
57,11-9111.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
63,11-9111.00,0.397059,0.602941,anthropic_economic_index_2025_03_27
7207,11-9121.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
7204,11-9121.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
7206,11-9121.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
7216,11-9121.00,0.161074,0.838926,anthropic_economic_index_2025_03_27
15602,11-9121.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
15608,11-9121.01,0.423077,0.576923,anthropic_economic_index_2025_03_27
15609,11-9121.01,0.524904,0.475096,anthropic_economic_index_2025_03_27
15607,11-9121.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
15588,11-9121.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
15623,11-9121.02,0.000000,1.000000,anthropic_economic_index_2025_03_27
15635,11-9121.02,0.470588,0.529412,anthropic_economic_index_2025_03_27
5262,11-9131.00,0.394737,0.605263,anthropic_economic_index_2025_03_27
7224,11-9141.00,0.421053,0.578947,anthropic_economic_index_2025_03_27
7223,11-9141.00,0.333333,0.666667,anthropic_economic_index_2025_03_27
7236,11-9141.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
7219,11-9141.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
7226,11-9141.00,0.589286,0.410714,anthropic_economic_index_2025_03_27
7225,11-9141.00,0.306122,0.693878,anthropic_economic_index_2025_03_27
1128,11-9151.00,0.512195,0.487805,anthropic_economic_index_2025_03_27
1133,11-9151.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
7254,11-9161.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
18841,11-9171.00,0.448000,0.552000,anthropic_economic_index_2025_03_27
18830,11-9171.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
18831,11-9171.00,0.387097,0.612903,anthropic_economic_index_2025_03_27
15545,11-9179.01,0.152971,0.847029,anthropic_economic_index_2025_03_27
20317,11-9179.01,0.433723,0.566277,anthropic_economic_index_2025_03_27
17612,11-9179.02,0.425000,0.575000,anthropic_economic_index_2025_03_27
17610,11-9179.02,0.343284,0.656716,anthropic_economic_index_2025_03_27
17617,11-9179.02,0.468750,0.531250,anthropic_economic_index_2025_03_27
17615,11-9179.02,0.335810,0.664190,anthropic_economic_index_2025_03_27
18036,11-9199.01,0.324675,0.675325,anthropic_economic_index_2025_03_27
18024,11-9199.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
18030,11-9199.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
15650,11-9199.02,0.000000,1.000000,anthropic_economic_index_2025_03_27
15642,11-9199.02,0.000000,1.000000,anthropic_economic_index_2025_03_27
15806,11-9199.08,0.295620,0.704380,anthropic_economic_index_2025_03_27
15838,11-9199.10,1.000000,0.000000,anthropic_economic_index_2025_03_27
12865,13-1011.00,0.500000,0.500000,anthropic_economic_index_2025_03_27
12870,13-1011.00,0.384298,0.615702,anthropic_economic_index_2025_03_27
12866,13-1011.00,0.329268,0.670732,anthropic_economic_index_2025_03_27
1143,13-1023.00,0.636364,0.363636,anthropic_economic_index_2025_03_27
1145,13-1023.00,0.406250,0.593750,anthropic_economic_index_2025_03_27
1158,13-1023.00,0.263158,0.736842,anthropic_economic_index_2025_03_27
21418,13-1031.00,0.274725,0.725275,anthropic_economic_index_2025_03_27
7251,13-1032.00,0.438596,0.561404,anthropic_economic_index_2025_03_27
21449,13-1041.00,0.442308,0.557692,anthropic_economic_index_2025_03_27
21457,13-1041.00,0.432099,0.567901,anthropic_economic_index_2025_03_27
21458,13-1041.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
10837,13-1041.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
10875,13-1041.03,0.343750,0.656250,anthropic_economic_index_2025_03_27
10880,13-1041.03,0.388235,0.611765,anthropic_economic_index_2025_03_27
12891,13-1041.04,0.356436,0.643564,anthropic_economic_index_2025_03_27
18052,13-1041.07,0.000000,1.000000,anthropic_economic_index_2025_03_27
18049,13-1041.07,0.188235,0.811765,anthropic_economic_index_2025_03_27
18065,13-1041.07,1.000000,0.000000,anthropic_economic_index_2025_03_27
18059,13-1041.07,0.000000,1.000000,anthropic_economic_index_2025_03_27
18064,13-1041.07,0.548303,0.451697,anthropic_economic_index_2025_03_27
15945,13-1041.08,1.000000,0.000000,anthropic_economic_index_2025_03_27
15933,13-1041.08,0.180451,0.819549,anthropic_economic_index_2025_03_27
15925,13-1041.08,0.278947,0.721053,anthropic_economic_index_2025_03_27
81,13-1051.00,0.625000,0.375000,anthropic_economic_index_2025_03_27
88,13-1051.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
18861,13-1071.00,0.185567,0.814433,anthropic_economic_index_2025_03_27
18868,13-1071.00,0.509804,0.490196,anthropic_economic_index_2025_03_27
18857,13-1071.00,0.585526,0.414474,anthropic_economic_index_2025_03_27
18862,13-1071.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
18865,13-1071.00,0.444444,0.555556,anthropic_economic_index_2025_03_27
18874,13-1071.00,0.345679,0.654321,anthropic_economic_index_2025_03_27
18888,13-1075.00,0.479798,0.520202,anthropic_economic_index_2025_03_27
8933,13-1081.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
8943,13-1081.00,0.419355,0.580645,anthropic_economic_index_2025_03_27
8949,13-1081.00,0.366197,0.633803,anthropic_economic_index_2025_03_27
8942,13-1081.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
8936,13-1081.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
8938,13-1081.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
8947,13-1081.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
15876,13-1081.01,1.000000,0.000000,anthropic_economic_index_2025_03_27
15872,13-1081.01,0.426020,0.573980,anthropic_economic_index_2025_03_27
15873,13-1081.01,0.338462,0.661538,anthropic_economic_index_2025_03_27
19998,13-1081.01,0.375000,0.625000,anthropic_economic_index_2025_03_27
20001,13-1081.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
15893,13-1081.02,0.000000,1.000000,anthropic_economic_index_2025_03_27
15895,13-1081.02,0.453488,0.546512,anthropic_economic_index_2025_03_27
15900,13-1081.02,1.000000,0.000000,anthropic_economic_index_2025_03_27
15884,13-1081.02,0.338624,0.661376,anthropic_economic_index_2025_03_27
7282,13-1111.00,0.415888,0.584112,anthropic_economic_index_2025_03_27
7286,13-1111.00,0.395349,0.604651,anthropic_economic_index_2025_03_27
1216,13-1121.00,0.382979,0.617021,anthropic_economic_index_2025_03_27
1210,13-1121.00,0.416084,0.583916,anthropic_economic_index_2025_03_27
1213,13-1121.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
18917,13-1131.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
18931,13-1131.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
18923,13-1131.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
18912,13-1131.00,0.529412,0.470588,anthropic_economic_index_2025_03_27
18925,13-1131.00,0.426170,0.573830,anthropic_economic_index_2025_03_27
18932,13-1131.00,0.500000,0.500000,anthropic_economic_index_2025_03_27
18908,13-1131.00,0.416667,0.583333,anthropic_economic_index_2025_03_27
18924,13-1131.00,0.267442,0.732558,anthropic_economic_index_2025_03_27
3369,13-1141.00,0.391473,0.608527,anthropic_economic_index_2025_03_27
3364,13-1141.00,0.438393,0.561607,anthropic_economic_index_2025_03_27
3354,13-1141.00,0.500000,0.500000,anthropic_economic_index_2025_03_27
3372,13-1141.00,0.523810,0.476190,anthropic_economic_index_2025_03_27
20474,13-1151.00,0.423077,0.576923,anthropic_economic_index_2025_03_27
101,13-1151.00,0.372881,0.627119,anthropic_economic_index_2025_03_27
5434,13-1161.00,0.339459,0.660541,anthropic_economic_index_2025_03_27
5437,13-1161.00,0.346633,0.653367,anthropic_economic_index_2025_03_27
5439,13-1161.00,0.391304,0.608696,anthropic_economic_index_2025_03_27
5433,13-1161.00,0.447581,0.552419,anthropic_economic_index_2025_03_27
5443,13-1161.00,0.700000,0.300000,anthropic_economic_index_2025_03_27
5441,13-1161.00,0.405063,0.594937,anthropic_economic_index_2025_03_27
5438,13-1161.00,0.313364,0.686636,anthropic_economic_index_2025_03_27
5436,13-1161.00,0.585366,0.414634,anthropic_economic_index_2025_03_27
20329,13-1161.01,0.416928,0.583072,anthropic_economic_index_2025_03_27
16190,13-1161.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
20320,13-1161.01,0.396450,0.603550,anthropic_economic_index_2025_03_27
20321,13-1161.01,0.340426,0.659574,anthropic_economic_index_2025_03_27
20319,13-1161.01,1.000000,0.000000,anthropic_economic_index_2025_03_27
20330,13-1161.01,0.318182,0.681818,anthropic_economic_index_2025_03_27
16193,13-1161.01,0.377778,0.622222,anthropic_economic_index_2025_03_27
20331,13-1161.01,1.000000,0.000000,anthropic_economic_index_2025_03_27
16185,13-1161.01,0.666667,0.333333,anthropic_economic_index_2025_03_27
16187,13-1161.01,0.750000,0.250000,anthropic_economic_index_2025_03_27
16184,13-1161.01,0.556748,0.443252,anthropic_economic_index_2025_03_27
16176,13-1161.01,0.134021,0.865979,anthropic_economic_index_2025_03_27
15954,13-1199.04,0.409091,0.590909,anthropic_economic_index_2025_03_27
15952,13-1199.04,0.437309,0.562691,anthropic_economic_index_2025_03_27
15949,13-1199.04,0.113636,0.886364,anthropic_economic_index_2025_03_27
15959,13-1199.04,0.455285,0.544715,anthropic_economic_index_2025_03_27
15967,13-1199.04,0.298913,0.701087,anthropic_economic_index_2025_03_27
15950,13-1199.04,1.000000,0.000000,anthropic_economic_index_2025_03_27
15968,13-1199.05,0.000000,1.000000,anthropic_economic_index_2025_03_27
15976,13-1199.05,0.421875,0.578125,anthropic_economic_index_2025_03_27
15975,13-1199.05,0.395833,0.604167,anthropic_economic_index_2025_03_27
15977,13-1199.05,0.366667,0.633333,anthropic_economic_index_2025_03_27
15734,13-1199.06,0.750853,0.249147,anthropic_economic_index_2025_03_27
15729,13-1199.06,0.608247,0.391753,anthropic_economic_index_2025_03_27
15732,13-1199.06,0.460317,0.539683,anthropic_economic_index_2025_03_27
15726,13-1199.06,1.000000,0.000000,anthropic_economic_index_2025_03_27
15717,13-1199.06,0.000000,1.000000,anthropic_economic_index_2025_03_27
15713,13-1199.06,0.436975,0.563025,anthropic_economic_index_2025_03_27
15721,13-1199.06,0.533333,0.466667,anthropic_economic_index_2025_03_27
15725,13-1199.06,0.426667,0.573333,anthropic_economic_index_2025_03_27
15727,13-1199.06,0.527027,0.472973,anthropic_economic_index_2025_03_27
15723,13-1199.06,0.362530,0.637470,anthropic_economic_index_2025_03_27
21500,13-1199.07,0.343042,0.656958,anthropic_economic_index_2025_03_27
21496,13-1199.07,0.244131,0.755869,anthropic_economic_index_2025_03_27
21498,13-1199.07,0.337349,0.662651,anthropic_economic_index_2025_03_27
21497,13-1199.07,0.740000,0.260000,anthropic_economic_index_2025_03_27
21499,13-1199.07,0.273276,0.726724,anthropic_economic_index_2025_03_27
21488,13-1199.07,1.000000,0.000000,anthropic_economic_index_2025_03_27
21489,13-1199.07,0.571429,0.428571,anthropic_economic_index_2025_03_27
21505,13-2011.00,0.571429,0.428571,anthropic_economic_index_2025_03_27
21521,13-2011.00,0.450315,0.549685,anthropic_economic_index_2025_03_27
21519,13-2011.00,0.348580,0.651420,anthropic_economic_index_2025_03_27
21549,13-2023.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
21550,13-2023.00,0.615385,0.384615,anthropic_economic_index_2025_03_27
21564,13-2023.00,0.357143,0.642857,anthropic_economic_index_2025_03_27
21577,13-2023.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
21563,13-2023.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
3398,13-2031.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
3405,13-2031.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
3399,13-2031.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
3403,13-2031.00,0.553571,0.446429,anthropic_economic_index_2025_03_27
21580,13-2051.00,0.314010,0.685990,anthropic_economic_index_2025_03_27
21586,13-2051.00,0.403509,0.596491,anthropic_economic_index_2025_03_27
21589,13-2051.00,0.423581,0.576419,anthropic_economic_index_2025_03_27
21590,13-2051.00,0.474886,0.525114,anthropic_economic_index_2025_03_27
21591,13-2051.00,0.364706,0.635294,anthropic_economic_index_2025_03_27
21593,13-2051.00,0.278571,0.721429,anthropic_economic_index_2025_03_27
21594,13-2051.00,0.174560,0.825440,anthropic_economic_index_2025_03_27
21596,13-2051.00,0.268657,0.731343,anthropic_economic_index_2025_03_27
21598,13-2051.00,0.528571,0.471429,anthropic_economic_index_2025_03_27
21599,13-2051.00,0.488636,0.511364,anthropic_economic_index_2025_03_27
21600,13-2051.00,0.286842,0.713158,anthropic_economic_index_2025_03_27
21602,13-2051.00,0.409326,0.590674,anthropic_economic_index_2025_03_27
12904,13-2052.00,0.270557,0.729443,anthropic_economic_index_2025_03_27
12905,13-2052.00,0.193833,0.806167,anthropic_economic_index_2025_03_27
20182,13-2052.00,0.234848,0.765152,anthropic_economic_index_2025_03_27
20189,13-2052.00,0.264840,0.735160,anthropic_economic_index_2025_03_27
20186,13-2052.00,0.262570,0.737430,anthropic_economic_index_2025_03_27
20188,13-2052.00,0.263158,0.736842,anthropic_economic_index_2025_03_27
12919,13-2052.00,0.422535,0.577465,anthropic_economic_index_2025_03_27
1261,13-2053.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
21613,13-2054.00,0.298039,0.701961,anthropic_economic_index_2025_03_27
21617,13-2054.00,0.423581,0.576419,anthropic_economic_index_2025_03_27
21618,13-2054.00,0.364706,0.635294,anthropic_economic_index_2025_03_27
21622,13-2054.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
21624,13-2054.00,0.174560,0.825440,anthropic_economic_index_2025_03_27
21625,13-2054.00,0.673077,0.326923,anthropic_economic_index_2025_03_27
21626,13-2054.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
21628,13-2054.00,0.488636,0.511364,anthropic_economic_index_2025_03_27
21629,13-2054.00,0.446809,0.553191,anthropic_economic_index_2025_03_27
21631,13-2054.00,0.409326,0.590674,anthropic_economic_index_2025_03_27
7317,13-2061.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
7315,13-2061.00,0.290780,0.709220,anthropic_economic_index_2025_03_27
18936,13-2071.00,0.376984,0.623016,anthropic_economic_index_2025_03_27
18945,13-2071.00,0.273118,0.726882,anthropic_economic_index_2025_03_27
18952,13-2071.00,0.108937,0.891063,anthropic_economic_index_2025_03_27
18942,13-2071.00,0.340771,0.659229,anthropic_economic_index_2025_03_27
3410,13-2072.00,0.133056,0.866944,anthropic_economic_index_2025_03_27
3418,13-2072.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
3421,13-2072.00,0.375000,0.625000,anthropic_economic_index_2025_03_27
3425,13-2072.00,0.375000,0.625000,anthropic_economic_index_2025_03_27
21635,13-2072.00,0.324324,0.675676,anthropic_economic_index_2025_03_27
21637,13-2072.00,0.487288,0.512712,anthropic_economic_index_2025_03_27
21641,13-2072.00,0.182119,0.817881,anthropic_economic_index_2025_03_27
21643,13-2072.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
20016,13-2081.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
5289,13-2081.00,0.096618,0.903382,anthropic_economic_index_2025_03_27
7363,13-2082.00,0.217391,0.782609,anthropic_economic_index_2025_03_27
7359,13-2082.00,1.000000,0.000000,anthropic_economic_index_2025_03_27
7366,13-2082.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
20364,13-2082.00,0.093448,0.906552,anthropic_economic_index_2025_03_27
20363,13-2082.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
15997,13-2099.01,0.465753,0.534247,anthropic_economic_index_2025_03_27
15995,13-2099.01,0.478541,0.521459,anthropic_economic_index_2025_03_27
15989,13-2099.01,0.216667,0.783333,anthropic_economic_index_2025_03_27
15991,13-2099.01,0.363636,0.636364,anthropic_economic_index_2025_03_27
15988,13-2099.01,0.547009,0.452991,anthropic_economic_index_2025_03_27
15983,13-2099.01,0.465753,0.534247,anthropic_economic_index_2025_03_27
15986,13-2099.01,0.611650,0.388350,anthropic_economic_index_2025_03_27
15984,13-2099.01,0.681416,0.318584,anthropic_economic_index_2025_03_27
16046,13-2099.04,0.571429,0.428571,anthropic_economic_index_2025_03_27
16056,13-2099.04,0.000000,1.000000,anthropic_economic_index_2025_03_27
16035,13-2099.04,0.000000,1.000000,anthropic_economic_index_2025_03_27
3465,15-1211.00,0.474940,0.525060,anthropic_economic_index_2025_03_27
3482,15-1211.00,0.464115,0.535885,anthropic_economic_index_2025_03_27
3466,15-1211.00,0.084746,0.915254,anthropic_economic_index_2025_03_27
3475,15-1211.00,0.272938,0.727062,anthropic_economic_index_2025_03_27
3480,15-1211.00,0.083279,0.916721,anthropic_economic_index_2025_03_27
3479,15-1211.00,0.244318,0.755682,anthropic_economic_index_2025_03_27
3476,15-1211.00,0.403670,0.596330,anthropic_economic_index_2025_03_27
3467,15-1211.00,0.285045,0.714955,anthropic_economic_index_2025_03_27
3478,15-1211.00,0.497663,0.502337,anthropic_economic_index_2025_03_27
18097,15-1211.01,0.304636,0.695364,anthropic_economic_index_2025_03_27
18094,15-1211.01,0.307692,0.692308,anthropic_economic_index_2025_03_27
18088,15-1211.01,0.444444,0.555556,anthropic_economic_index_2025_03_27
18089,15-1211.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
5314,15-1212.00,0.294521,0.705479,anthropic_economic_index_2025_03_27
5316,15-1212.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
5321,15-1212.00,0.195402,0.804598,anthropic_economic_index_2025_03_27
5320,15-1212.00,0.317495,0.682505,anthropic_economic_index_2025_03_27
5322,15-1212.00,0.345196,0.654804,anthropic_economic_index_2025_03_27
5319,15-1212.00,0.285714,0.714286,anthropic_economic_index_2025_03_27
5318,15-1212.00,0.379487,0.620513,anthropic_economic_index_2025_03_27
14623,15-1221.00,0.319335,0.680665,anthropic_economic_index_2025_03_27
14626,15-1221.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
14633,15-1221.00,0.457831,0.542169,anthropic_economic_index_2025_03_27
14629,15-1221.00,0.289514,0.710486,anthropic_economic_index_2025_03_27
14627,15-1221.00,0.223602,0.776398,anthropic_economic_index_2025_03_27
14630,15-1221.00,0.357143,0.642857,anthropic_economic_index_2025_03_27
19004,15-1231.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
18991,15-1231.00,0.351531,0.648469,anthropic_economic_index_2025_03_27
19003,15-1231.00,0.323108,0.676892,anthropic_economic_index_2025_03_27
19002,15-1231.00,0.437716,0.562284,anthropic_economic_index_2025_03_27
18989,15-1231.00,0.377953,0.622047,anthropic_economic_index_2025_03_27
19011,15-1231.00,0.189189,0.810811,anthropic_economic_index_2025_03_27
19005,15-1231.00,0.504673,0.495327,anthropic_economic_index_2025_03_27
1286,15-1232.00,0.408511,0.591489,anthropic_economic_index_2025_03_27
1288,15-1232.00,0.516129,0.483871,anthropic_economic_index_2025_03_27
1282,15-1232.00,0.284314,0.715686,anthropic_economic_index_2025_03_27
1284,15-1232.00,0.558304,0.441696,anthropic_economic_index_2025_03_27
1292,15-1232.00,0.327586,0.672414,anthropic_economic_index_2025_03_27
1290,15-1232.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
1296,15-1232.00,0.480000,0.520000,anthropic_economic_index_2025_03_27
18968,15-1241.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
18971,15-1241.00,0.198198,0.801802,anthropic_economic_index_2025_03_27
18965,15-1241.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
